RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	UTM	JOG	FC	DSG	PC	CC1	ADM1	ADM2	DIM	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME	FULL_NAME	FULL_NAME_ND	MODIFY_DATE
1	-569836	-804829	50.7833333	 -59.0166667	504700	-590100	US52	NM21-04	P	PPL		CA	10				N				MUTTONBAY	Mutton Bay	Mutton Bay	1993-12-14
1	-570475	-804830	62.2	-141.6666667	621200	-1414000	DJ69	NP07-05	T	MTS		CA	02				V				MUTZOTINRANGE	Mutzotin Range	Mutzotin Range	1993-12-14
1	-569837	-804831	54.1666667	 -87.4333333	541000	-872600	DF70	NN16-05	H	STM		CA	08				V				MUZHIKOBABROOK	Muzhikoba Brook	Muzhikoba Brook	1993-12-14
1	-569837	-804832	54.1666667	 -87.4333333	541000	-872600	DF70	NN16-05	H	STM		CA	08				N				MUZHIKOBACREEK	Muzhikoba Creek	Muzhikoba Creek	1993-12-14
1	-569838	-804833	58.8833333	 -63.05	585300	-630300	ML92	NO20-05	T	PEN		CA	05				N				MUZZLE THE	The Muzzle	The Muzzle	1993-12-14
1	-569395	-804834	47.9666667	 -64.5333333	475800	-643200	LU81	NL20-01	T	ISL		CA	04				V				MYA	Mya	Mya	1993-12-14
1	-569839	-804835	49.0166667	-118.8666667	490100	-1185200	LQ63	NM11-07	H	STM		CA	02				N				MYERSCREEK	Myers Creek	Myers Creek	1993-12-14
1	-569839	-804836	49.0166667	-118.8666667	490100	-1185200	LQ63	NM11-07	H	STM		CA	02				V				MYERSEASTCREEK	Myerseast Creek	Myerseast Creek	1993-12-14
1	-569840	-804837	70.4166667	-102.3333333	702500	-1022000	EU91	NR13-05	T	ISL		CA	14				N				MYLIUSISLAND	Mylius Island	Mylius Island	1993-12-14
1	-569841	-804838	54.9166667	-130.0833333	545500	-1300500	VA38	NN09-04	T	PEN		CA	02				N				MYLORPENINSULA	Mylor Peninsula	Mylor Peninsula	1993-12-14
